Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros,Total_x,Banda ancha fija,Dial up,Total_y
2023,4,Buenos Aires,27.68,80.96,158.49,26909,23962,228393,239339,246144,110876,4042646,93351,5011620,5005720,5.9,5011620
2023,4,Capital Federal,47.8,117.02,234.44,5160,4544,26409,48083,33925,5829,1355061,0,1474367,1472317,2.05,1474367
2023,4,Catamarca,17.46,68.63,89.4,710,2090,3065,3734,4423,1827,61181,770,74587,74586,1.0,74587
2023,4,Chaco,11.85,44.35,107.14,2360,4770,14811,10361,6247,5729,105485,404,147386,147381,5.0,147386
2023,4,Chubut,26.04,84.96,20.29,1110,1088,44276,31402,22843,20196,33665,16589,170170,169313,857.0,170170
2023,4,Córdoba,27.76,90.67,114.03,990,8404,117068,91169,51126,26948,767427,17061,1079302,1079239,63.0,1079302
2023,4,Corrientes,13.84,52.56,100.9,670,2889,19949,17984,8108,5087,98904,6484,159472,159469,3.0,159472
2023,4,Entre Ríos,20.91,69.94,101.18,1070,4408,37150,54377,16673,7236,164304,14382,298637,298617,20.0,298637
2023,4,Formosa,9.98,39.23,83.35,850,1790,21856,11563,4545,2720,23152,3500,62002,62002,0.0,62002
2023,4,Jujuy,14.77,57.78,46.2,580,1343,15359,11724,28741,2720,58543,198,118020,118020,0.0,118020
2023,4,La Pampa,32.93,99.96,25.61,710,133,46716,17278,14556,5511,34254,161,121326,121164,162.0,121326
2023,4,La Rioja,21.35,80.22,64.18,180,4350,1483,1786,24838,4709,54452,0,87721,87717,4.0,87721
2023,4,Mendoza,14.55,52.15,49.46,1040,2945,35976,20902,30051,7781,196093,5499,299351,298621,730.0,299351
2023,4,Misiones,15.33,56.27,93.65,510,3248,32287,21522,11338,385,119112,8925,200333,200333,0.0,200333
2023,4,Neuquén,23.78,79.91,99.63,1360,9980,35431,13485,10435,2933,81033,20176,164627,164188,439.0,164627
2023,4,Río Negro,21.61,70.26,74.37,1120,1039,27223,16608,18343,24693,64813,15586,168417,167902,515.0,168417
2023,4,Salta,13.8,56.98,83.04,1140,1154,28069,65938,3735,660,98971,6685,204732,204727,5.0,204732
2023,4,San Juan,12.75,50.08,24.78,240,2021,21157,12882,12489,1343,30645,22649,103210,102963,247.0,103210
2023,4,San Luis,29.21,102.07,174.59,600,6280,11317,23754,8952,75907,33150,9170,154685,154520,165.0,154685
2023,4,Santa Cruz,21.94,73.75,36.77,500,5000,7764,10783,11558,3628,19314,33434,87031,86844,187.0,87031
2023,4,Santa Fe,25.08,79.75,99.81,4680,6845,82343,164019,59636,22135,557629,16426,909501,909395,106.0,909501
2023,4,Santiago Del Estero,12.18,49.08,44.22,1800,1173,13018,5398,24514,5794,23641,9300,123230,123228,2.0,123230
2023,4,Tierra Del Fuego,32.75,110.49,17.92,220,8340,10283,12618,19536,6085,4342,7879,61599,61294,305.0,61599
2023,4,Tucumán,15.12,61.04,101.55,390,1089,18850,22817,24476,1583,196919,5620,266335,266308,27.0,266335
2023,3,Buenos Aires,27.5,80.64,146.84,2744,2482,242010,24131,246076,112159,3951660,122762,4968237,4962337,5.9,4968237
